Scraped Locations,Scraped Users,Scraped Reviews,Scraped Ratings,Scraped Dates,Type
Fort Canning Park,SHANSHAN Gao,"The last time I came here was seven or eight years ago. Back then, there weren't so many people taking photos here. But today, when I came again, there were a huge crowd. It's because this place has become extremely popular online recently …",5,a month ago,Attractions
Fort Canning Park,Thotsaporn Jaroensri,"Fort Canning Park is a large park in the city, featuring a steep hill and plenty of lush greenery. It’s shaded by many big trees and home to several historically significant sites.",4,3 months ago,Attractions
Fort Canning Park,Tim Ezra,"Scenic park with a piece of history attached to it. Nice place to walk around and take pictures. It's free entry, but the tour guides don't suggest this place. Must visit place in Singapore.",5,4 months ago,Attractions
Fort Canning Park,Maciek Goralski,A jungle in the middle of a modern city? No worries! It’s a stunning place full of history. There’s the battle box museum that shows how badly British army was unprepared and how one arrogant man can bring chaos and destruction on the whole …,5,2 months ago,Attractions
Fort Canning Park,Liz Collenette,"Beautiful lush green park to wander around. Lots of steps to reach the top so not suitable for anyone who can't do stairs.
For those who can its well worth a look.",4,a month ago,Attractions
Fort Canning Park,V K,"Beautiful, picturesque and extremely well groomed and maintained, totally tourists-, joggers- and walkers-friendly park with eternal blossom of... well, at least something around.",5,a month ago,Attractions
Fort Canning Park,Van Tran,"We actually didn’t plan to visit Fort Canning Park, it was a spontaneous stop, but we were lucky! It wasn’t too crowded, and we only waited about 5–10 minutes to get a spot at the famous spiral staircase for photos. …",5,2 months ago,Attractions
Fort Canning Park,Risqia,"A viral photo spot with easy access. However, avoid visiting on weekends and during the rainy season, as the queues can be very long.",5,2 weeks ago,Attractions
Fort Canning Park,Joyce “Joyful Explorer”,"A lovely park to explore the flora and fauna. There are escalators if you start your hike from National Museum of Singapore. A flight of stairs awaits if you start from the hike from Funan/Central Fire Station. Jubilee Park playground is beside Fort Canning Mrt Station. A haven for children! Swings, sand and slides!",5,4 months ago,Attractions
Fort Canning Park,Phúc Nguyên Phạm Hoàng,"Fort Canning Park is stunning, with lush greenery and iconic spots that make for beautiful photos. However, expect long queues, sometimes 3-4 hours, especially for popular attractions. It can also get crowded with lots of people moving around, so plan your visit early to avoid the rush!",4,3 months ago,Attractions
Fort Canning Park,Eros Villamil,"Instagram-worthy spot, though it looks a bit less impressive in person. Still, it’s a nice place to visit. Expect long lines even in the afternoon. Conveniently located near the train station, so it's easy to drop by if you have time to spare.",5,2 months ago,Attractions
Fort Canning Park,Deshani Bandara,"Fort Canning Park was one of the photo locations I really wanted to visit during my trip to Singapore and it did not disappoint! The spot is famous for its iconic spiral staircase, and it’s absolutely worth the visit if you're into …",5,a month ago,Attractions
Fort Canning Park,Jenny Lim,"A quiet oasis amidst the bustling city.  Tall majestic trees, historical sites and meandering paths invite you to explore and discover this precious gem.  Lots of picturesque spots for photos other than the crowded fort caning park tree tunnel.  I go there to seek solitude and to rest my weary eyes on the gorgeous greeneries.",5,3 months ago,Attractions
Fort Canning Park,Uri Michon,Very nice park situated in the heart of the city. The park is crossed by a walking paths network. Alongside you can find seating places for relaxation and view points to enjoy the living nature. A mix of trees makes the place very …,4,3 months ago,Attractions
Fort Canning Park,Gleeko Magpoc,A sanctuary in the middle of the busy Singapore. It is amazing how Singapore has maintained a mini forest that gives you a relaxing atmosphere in the midst of a busy district. The place is located at a height so you can get a good view of …,5,4 months ago,Attractions
Fort Canning Park,Li Ching H,"A huge park that's very pleasant to walk. I came here both during morning and night time during my visit in Singapore, and I did not get any mosquito bites during my visit. Though there are still mosquitoes can be seen in sight.",5,4 months ago,Attractions
Fort Canning Park,Akshita Gupta,"It is a very peaceful and less crowded park in Singapore. However, given the weather, it can get hot and sweaty. Also, the tree tunnel photo point is beautiful but very crowded with people lining up to take photos. …",4,4 months ago,Attractions
Fort Canning Park,ridwan arefeen,Don’t visit if you want to have a nice calm environment during weekends. It’s beaming with people in the weekend. But the place is beautiful lots of stuff to see,4,3 months ago,Attractions
Fort Canning Park,Han Wee Lin,"Ventured the hills to recall, refresh and soak childhood memories. Of National Theatre, Van Kleef Aquarium, River Valley Swimming Pool.
Had a wonderful hike-walk. The ancient trees provided great shades and with …",5,2 months ago,Attractions
Fort Canning Park,Eden Aqui,I never expected such a lovely park! So much beauty and nature to see and enjoy! Definately give it a visit ☺️,5,a month ago,Attractions
Fort Canning Park,Nok Davis,"Fort Canning Park is a peaceful green space in the middle of Singapore, perfect for a stroll or a quiet escape from the city. The park is well-preserved, with towering trees, lush greenery, and historical structures scattered throughout. …",5,6 months ago,Attractions
Fort Canning Park,Janno,Easily one of the best parks I would go to in Singapore! The escalators give it more accessibility points! …,5,5 months ago,Attractions
Fort Canning Park,Petra Elo,Could easily spend a full day in this park. Also as its on a hill it feels breezy and cooler compared to the rest of Singapore. Recommend visiting Fort Canning Centre and its free exhibitions.,5,4 months ago,Attractions
Fort Canning Park,Aditya Fajar Pratama,"A very large park that has a famous spot to take a picturw, but I couldn't deal with the queue, sorry 😂 …",5,2 months ago,Attractions
Fort Canning Park,Eric Koulourath,Loved my visit to Fort Canning Park. The way they've blended historical structures with such a diverse collection of plant life is truly impressive. The city views are a bonus! Highly recommend exploring this park.,5,5 months ago,Attractions
Fort Canning Park,Kristy,"I really like the part in their heritage gallery, where they promote the growing of your own potted plant. its on a foc buffet service, where the pots and soils and seed are neatly packed for takeaways, they even provide carrier bags for …",5,2 months ago,Attractions
Fort Canning Park,Hatsune Miku,"Fort Canning Park is a place of rich history heritage. Once the home of kings and even Raffles at a certain point in time, it has been taken over by chickens now, or rather, the red junglefowl. And these junglefowls are living the life of a …",5,2 months ago,Attractions
Fort Canning Park,mela rellora,"Great place for nature lovers and history enthusiast.
Have a lot of nooks for photo ops and vast space for pets specially dogs to roam around.",5,a month ago,Attractions
Fort Canning Park,Weng Kiong Fong,"For me, Fort Canning Park is a wonderful place for relaxing among nature and taking beautiful photos of the heritage trees and beautiful city skyline. …",5,a week ago,Attractions
Fort Canning Park,CHELSI BHANARKAR,"It has a waiting time of about an hour. The landscape is beautiful and beyond imagination. It was all good, worth the wait, until few Indian tourists broke the queue and started filming themselves. We waited for nearly 1hr 30mins in the …",4,3 months ago,Attractions
Fort Canning Park,Ra Rara,"very beautiful park to visit with your loves one. it is a walking distance from Dhoby Mrt station and ample signboard for your to follow along the way to here. also, if you tired walking, there is pleanty benches that you can sit for a short break. do bring water & some snacks along too as the weather is very hot in the afternoon.",5,2 months ago,Attractions
Fort Canning Park,Jo Lee,"Fort Canning Park is a historically significant hilltop oasis in the heart of Singapore, serving as a tranquil green space amidst the city's bustling downtown. It boasts a rich past, having been the site of ancient Malay palaces and …",4,2 months ago,Attractions
Fort Canning Park,Nora A.,Great place to spend strolling / walking / running & plenty of stairs to get some cardio work done. Or you can take the scenic route circling the park or the escalators.,5,4 months ago,Attractions
Fort Canning Park,Sutida Promprakai,"Great place to run or just to walk. Public drinking water tap provided. Good environment, safe, so many old and precious trees.",5,5 months ago,Attractions
Fort Canning Park,Malcolm Young,"2025: There's so many lush parks in the surrounding city, this old hill fort is one worth exploring.",4,2 months ago,Attractions
Fort Canning Park,Basil Bruce,"Simply lovely. A great (if hot) hour or so. Not particularly 'fortie' but stunning gardens in the heart of the city.
Incredibly well maintained and some amazing trees.
A refresher in Clarke Quay fully recommended.",5,6 months ago,Attractions
Fort Canning Park,Amethyst Jade Salape,"Randomly decided to drop by here. Great place! A long climb up and a long line was waiting for us at the tree tunnel. You don’t have to only line up there to get great pics, anywhere looks beautiful :)",5,4 months ago,Attractions
Fort Canning Park,Rochele Ann Rulloda,"Went here with my dad and my brother, I had fun exploring the place and there are a lot of interesting things you can see and explore around the area.",5,2 months ago,Attractions
Fort Canning Park,Taktan tak,"Nice park with a lot of knowledge in the history of Singapore and good for walking or exercising in the morning or evening, clean and very well management.",5,a month ago,Attractions
River Wonders,JM Ventayen,"After our Amazon River Quest ride, we continued on to River Wonders and it was such an amazing experience! 🐠✨ We saw so many aquariums filled with different fish species, each more fascinating than the last. One of the highlights was …",5,a week ago,Attractions
River Wonders,Benedict Correya,"Me and my wife visited River Wonders on a rainy Sunday. Thankfully, most of the exhibits are sheltered, so the wet weather didn’t spoil our visit and we could still enjoy seeing the animals—especially the giant pandas! The park is very …",4,3 weeks ago,Attractions
River Wonders,Shahab AB,"It was an absolutely amazing experience at River Wonders! There are so many aquatic animals to see, including giant river otters, giant freshwater stingrays, and even pandas. The manatees were the highlight for us. So funny and interesting …",5,a month ago,Attractions
River Wonders,Uthpalavi Dias,One of the coolest place to see the pandas and fish. Nice and clean area with good facilities to stroll with young kids. Also the animal presentation are nice and exciting experience for families. Giant fish tanks are wonderful and fish and animals are from both freshwater and sea water,5,a month ago,Attractions
River Wonders,Sharafina Md Abidin Shah,"I had a great time here at River Wonders! The park is beautiful and well-organised, and I especially enjoyed seeing the giant pandas. I also had a great experience at the Amazon River Quest, such a fun and cheap thrill! …",5,2 weeks ago,Attractions
River Wonders,Angeline Chiba,"The concept is great, with so many unique fish that I couldn’t see in other aquariums. The place is also family-friendly. But it’s very hot and humid, so don’t forget to bring water and a fan.",4,6 days ago,Attractions
River Wonders,G. Goh,"We had a great time at River Wonders!

It wasn’t crowded, so it was easy to walk around and enjoy everything. …",5,3 months ago,Attractions
River Wonders,Ed .venturous,"The design of the park was quite weather proof. Though it was raining when we went, most of the attractions can still be visited. Animal show have to be pre booked but it was a little underwhelming. Overall, family friendly and worth a visit.",4,a month ago,Attractions
River Wonders,Kid Vo,"The majority of the wildlife here lives underwater, but surprisingly, they also have giant pandas and red pandas. All the giant pandas seem to do is eat and eat, while the red pandas are usually hiding up in the trees for a nap. The red …",5,2 months ago,Attractions
River Wonders,Bluebell Flourish,"Once Upon a River is a fun, interactive show. Did not expect close encounters with a parrot, hornbill, monitor lizard, python, capybara and pelicans! …",5,a month ago,Attractions
River Wonders,Daddy Pooch,We really enjoyed the river wonders. It's kinda far from the place we were staying but Singapore has an efficient transport system so going here is not a problem. This is only a part of a zoo I think but this is big enough for a days trip. …,5,a month ago,Attractions
River Wonders,YT Chan,"It has fun-filled shows and an amazing boat ride. In my opinion, I think the boat ride is the most amazing boat ride you could ever ride. The fun-filled show includes One Upon A River, where you can volunteer to go up on stage to feel the …",5,2 months ago,Attractions
River Wonders,Randall Ting,Quite fun. Total time taken was around 3 hours. Went in around 2pm. Just nice there was some feeding and rangers giving additional information. …,4,4 months ago,Attractions
River Wonders,c h a r l y n n,"I enjoyed river wonders as it is such a lovely park to see the animals (manatees, otters, panda, and the capybara) love them all! Went to the arq boat ride too loved the experience! Special thanks to a staff meredith for helping me out with the tickets big thumbs up for her.",5,a week ago,Attractions
Supertree Grove,Melia,Looks cool in pictures; looks even cooler in person. Highly recommend getting a ticket and going up to the walkways even though you can view the trees from the ground for free. The structure feels safe and sturdy for those who get wiggly …,5,a month ago,Attractions
Supertree Grove,Hatem Saadaoui,"A magical experience from start to finish. On a rainy Ramadan evening, the Cloud Forest was the perfect escape — cool, peaceful, and breathtaking with its indoor waterfall and sky bridges. Later, the Supertree Observatory and the Garden …",5,a week ago,Attractions
Supertree Grove,Nanda Linn Aung,Amazing light and sound. I had the pleasure of enjoying massive classic sound integration and also many awesome movie themed integrated light and sound show. Some visitors will lay down and take the video upwards. Very good planning and …,5,4 months ago,Attractions
Supertree Grove,김채은,"I'll be honest, the light show isn't something I would have paid to watch from above (we went for the Cloud Forest + Flower Dome package) but I had no regrets waiting to watch it from the area below. It was an enjoyable experience worth …",5,a month ago,Attractions
Supertree Grove,Deborah Newton,Well worth a visit to see these structures. Great concept and so much fun.  Free to visit the ground but you do have to pay to go on the sky walk which is worth it.  We don't book in advance and went on a school day.  It's was very quiet.,5,2 months ago,Attractions
Supertree Grove,Siew TF,"The Supertrees in Gardens by the Bay, Singapore, are iconic vertical gardens that combine nature, art, and technology. …",5,a month ago,Attractions
Supertree Grove,Jessicafaye Salisipan,"Definitely a must visit, especially at night if you want to see the lights. There's a light show between 8 and 10 (check accurate time on Google lol). A lot of people brought mats to sit down on, but you can also just sit on the ground as …",5,2 weeks ago,Attractions
Supertree Grove,Carleen Bongay,"This place is definitely a must-see! The best part? It’s free to explore, except for the walkway (but trust me, it’s worth it). Around 7:45 PM and 8:45 PM, they feature synchronized light displays set to music, transforming the entire area …",5,4 months ago,Attractions
Supertree Grove,Gene G,"The best time is to watch the light show. I went the one at 7;45pm, which last 15 minutes. It's a great show. Lot of people, but you will find a place in the crowd. While at that time it will wait about an hour to get the cross walk bridging the. Supertrees.",5,3 weeks ago,Attractions
Supertree Grove,Aparajita Paul,"Lovely place to visit, and worth the long queue.
Although time at the ocnc walk way is limited, but one will love the views around. …",5,a week ago,Attractions
Supertree Grove,ChuLuxe Explorer,Supertree Grove is absolutely breathtaking. I went in the evening and it was such a magical experience. The trees lit up beautifully and the synchronized light and music show was just amazing to watch. It felt like something out of a dream. …,5,a month ago,Attractions
Supertree Grove,Claudio Bruni,"Supertree Grove is absolutely magical, especially during the evening light show 🌳✨🎶. The towering trees light up in sync with music, creating a spectacular atmosphere that feels like stepping into another world 🌌💜. It’s free to watch, the …",5,2 weeks ago,Attractions
Supertree Grove,"10,000KM PER TE NIGEL",Please just pay for the tickets and head up. I tried it for the first time last week after 20 years of hosting friends from the overseas and It was just something amazing - worth every penny for sure! PS: the view is completely different in the day and night. Latter is better!,5,a month ago,Attractions
Supertree Grove,Ravi Raj,"Absolutely stunning experience!

Gardens by the Bay is an absolute must-visit if you’re in Singapore. The …",5,2 months ago,Attractions
Supertree Grove,Marcos O. Diogo,"The biggest of all tree, I decided to go to the top and it wasn’t a mistake, this is one of the multiple activities garden by the bay offers you should read garden by the bay reviews to get a knowledge of the overall experience but since …",5,3 months ago,Attractions
Supertree Grove,Christian Jones Lucas,We first came to the three super trees by Starbucks and McDonald's and struggled to figure out how to get to the actual grove. Once we sat down and looked at the map we figured out the direction we needed to go. It was an awesome experience …,4,2 months ago,Attractions
Supertree Grove,Nav Sanghera,Highly recommend going here to see the light show. Such a magical place and show. Atmosphere was great. I would also walk around the gardens so many things to see.,5,a week ago,Attractions
Supertree Grove,Nirwana,Supertree Grove at Marina Bay is truly a futuristic wonder! The towering tree-like structures light up beautifully at night with music shows that are simply magical. You can also rent a bike and explore the scenic paths around Marina Bay …,5,3 weeks ago,Attractions
Supertree Grove,Davina Enebeli,OMG a must visit place. We were there into the evening and enjoyed an amazing lights and music display. The gardens are definitely a must visit when in Singapore. There is a skywalk tower that is priced separately. We enjoyed it. Depending …,5,3 weeks ago,Attractions
Supertree Grove,Wandering Sapiens,Supertree Grove is a well-designed area with tall vertical gardens that stand out in the park. The light and sound show held in the evening is free and draws a good crowd—worth watching if you're around. The walkway between the trees offers …,5,a month ago,Attractions
Supertree Grove,Chihiro Ito,"We took a walk around the area on our first night in Singapore. I was not sure if I would like it as it seemed artificial, but to my surprise, it was a pleasant visit. It is a little far from other parts of the city, but it is worth the visit. The park is free to enter and walk around, unless you want to go to indoor gardens.",5,3 months ago,Attractions
Supertree Grove,Michelle Spencer,"Beautiful way to see Marina Bay, light show is free and does not disappoint, take enough time to walk around as the place is big. Beautiful for kids.",5,2 weeks ago,Attractions
Supertree Grove,Traves O'Neill,"Gardens by the Bay is a must-see. Although I only had a couple of hours to explore, we walked through the outdoor gardens and really enjoyed the Supertree Grove. It was definitely worth paying the extra fee to access the skywalk—the view from above is incredible.",5,a month ago,Attractions
Supertree Grove,Alan Shipman,Unique attraction. Great view of Gardens By The Bay and Marina Bay from the top observation deck during the day. Planning to return for the night light show.,5,a month ago,Attractions
Supertree Grove,Charlotte Cowley,An excellent (and free) activity in Singapore! The gardens are extensive and you can easily spend a few hours just walking around. There are a few shops for refreshments and food and the entrance to the cloud forest and flower dome are also …,5,5 months ago,Attractions
