,Scraped Locations,Scraped Users,Scraped Reviews,Scraped Ratings,Scraped Dates,Type,relevancy,
34,McDonald's,Tio Gabriel Tio Yong Ping,"9/2/2025
Failed filet-o-fish. Fish and cheese displace a lot from the bun …",4,Edited 6 months ago,Restaurants,irrelevant,
35,McDonald's,Happpie Bunny,"I bought a Sausage EggMuffin meal this morning, request the Staff- Manager (Malay man) for ketchup only because inside the packing does not have any sauce. He only gave me 1 pkt then I requested again for more but he also gave me 1 pkt only …",1,3 months ago,Restaurants,,
36,McDonald's,atw 2,"I would like to make a complaint regarding my recent order. I was missing one portion of fries, and the waiting time was already very long. When I asked the staff (the auntie) about my order, her response was dismissive. She simply said, “Your order there anot? Not there means not there,” which I found unhelpful and unprofessional.",1,a week ago,Restaurants,,
37,McDonald's,Eunice Yong,The French fries is terrible. Not even warm. Came here last night and tonight. Same thing happened to the fries,1,2 months ago,Restaurants,,
38,McDonald's,Deon Yong,"I order 2set ham burger happy meal, they give me 2 set nugget set, Jurong point MCD",1,2 months ago,Restaurants,,
39,McDonald's,Vincent,"I placed my order at 10:08 PM and waited for 30 minutes, but the food never arrived. I went to the counter to check, and the manager said table service usually takes longer. I accepted that and went back to wait again. …",1,2 months ago,Restaurants,,
40,McDonald's Jurong Central Park,Wong,"This outlet consistently serves food that tastes noticeably better than other branches in the west — especially the fries. I’ve patronized this outlet several times, and it’s always been a satisfying experience. …",5,3 weeks ago,Restaurants,,
41,McDonald's Jurong Central Park,Hatsune Miku,"Macdonalds has changed, but not for the better. Today my experience dining in at the outlet at Jurong Central Park was a disappointing one. Service was slow, place was filthy, kiosk scanner not working, kiosk not issuing receipt because no …",2,2 months ago,Restaurants,,
42,McDonald's Jurong Central Park,Same same But not same,Someone’s order mix up with mine… where is my veg? The whole burger too dry and weird. Front car just drive off haven’t completed their order. It must be their special order. Happened today 17th May 2025. The green tea too sweet and …,2,3 months ago,Restaurants,,
43,McDonald's Jurong Central Park,Goh Wei Rong,"For the 2 times that I came here, I always get free stuff. First time my son and I got free mini-cone vanilla ice cream, this time I got $1 discount and free activities sheet 👍🏼👍🏼 …",5,6 months ago,Restaurants,,
44,McDonald's Jurong Central Park,Robert Robert,"The McSpicy and French fries are tasty and nice.

Service staff are also very friendly and courteous. …",5,10 months ago,Restaurants,,
45,McDonald's Jurong Central Park,Vincent Khoo,Hopeless service. Can you believe I have to wait for 45 min for my fried chicken? And when I asked counter how long I have to wait...she said in progress but when press her again for exact timing...45 min!!! This is absurb. To say the …,1,a year ago,Restaurants,,
46,McDonald's Jurong Central Park,Ytt rium,If your rushing busy is alright.... But pls before passing delivery check clearly the order correct or not...,1,3 months ago,Restaurants,,
47,McDonald's Jurong Central Park,Chen Chen,We usually come here for Sundays lunch and are generally happy but this Sunday we waited for almost an hour (we arrived 12:10 and haven’t gotten our food by 1pm) even the place is not too crowded. Seems other people come here later got …,1,a year ago,Restaurants,,
48,McDonald's Jurong Central Park,Jason Tun,"Delicious food as always because is McDonald. Less crowded than Jurong Point, typically. Don't care about the nature outside, unlike my father.",4,3 weeks ago,Restaurants,,
49,McDonald's Jurong Central Park,Sion Toh,"Came with a friend for dinner.
Got some of the order left out or wrong.
1st, no fries was given. …",1,9 months ago,Restaurants,irrelevant,
50,Fort Canning Park,Uthpalavi Dias,Beautiful place with lots of different mini parks and photo locations. Can enjoy the nature and view the city while exploring the history of Singapore. One of the hills in Singapore with great views. Better to visit in the early morning or …,5,3 weeks ago,Attractions,,
51,Fort Canning Park,Alifia Ganjaraharja,Went there on weekday (Monday) and still crowded especially for the tree tunnel where people are lined up for taking photos or videos. But you can also check other places within the fort canning park that are quite interesting,4,2 weeks ago,Attractions,,
52,Fort Canning Park,Änna He,"Fort Canning's Tree Tunnel: Worth the Wait! 🌳✨
Just brought my clients to the famous Tree Tunnel at Fort Canning Park, and wow – what an experience! …",4,a month ago,Attractions,,
53,Fort Canning Park,Dr. Sourav Mandal,"Just entered the park to see the tree tunnel. The interesting thing is that people making queue in line to take photos. Overall the a very nice place to visit. Green overall. There is a bakery inside can try. Have restaurant also. Very near to old hill street police station, can plan together to visit. ❤️❤️",5,2 weeks ago,Attractions,,
54,Fort Canning Park,K Tan,"Fort Canning Park is a lush green oasis and historic botanical garden nestled right in the heart of the city. It offers a peaceful retreat with mature trees, beautifully landscaped gardens, and a variety of scenic photo spots. The park is …",5,2 months ago,Attractions,,
55,Fort Canning Park,mengtet Ng,"Just finished my Sunday morning walk at Fort Canning Park.
Greeted by bodies of drunks ppl lying around with tons of litters. The air is filled with alcohol instead of morning fresh air. …",1,2 weeks ago,Attractions,irrelevant,
56,Fort Canning Park,Stephen D,"Absolute marvel having parks in the middle of a metropolis.

There’s so much to learn from the parks rich history and diverse botanical …",5,a week ago,Attractions,,
57,Fort Canning Park,C F,"A very interesting green space filled with historical landmarks and heritage fauna. Perfect for a tranquil walk with its many vantage points and nooks of seating areas. The spice garden is a treat for the senses, and I particularly enjoyed …",5,2 months ago,Attractions,,
58,Fort Canning Park,Kannammai Palaniappan,"It is a botanical garden with the facility of park for the kids to play. It's really a scenic place, and it is absolutely free. Even elevator facilities are available to reach the top walkway. Their tree tunnel is absolute photo paradise. …",5,3 months ago,Attractions,,
59,Fort Canning Park,Battler1975,"Looking for a nice park walk close to city centre and a chance to view the military history of Singapore Port over many years then this is an hour well spent.
Nicely presented gardens, fauna well labelled and lovely restored colonial …",4,a month ago,Attractions,,
60,Fort Canning Park,Ardhiyanto Mulyono,"Great park for a quick stroll. Decently-sized and strategic location, can definitely pump in a few kilometers by going around a couple laps. Loops around twice, like a 2 tier cake!",5,4 weeks ago,Attractions,,
61,Fort Canning Park,SHANSHAN Gao,"The last time I came here was seven or eight years ago. Back then, there weren't so many people taking photos here. But today, when I came again, there were a huge crowd. It's because this place has become extremely popular online recently …",5,a month ago,Attractions,,
62,Fort Canning Park,Thotsaporn Jaroensri,"Fort Canning Park is a large park in the city, featuring a steep hill and plenty of lush greenery. It’s shaded by many big trees and home to several historically significant sites.",4,3 months ago,Attractions,,
63,Fort Canning Park,Tim Ezra,"Scenic park with a piece of history attached to it. Nice place to walk around and take pictures. It's free entry, but the tour guides don't suggest this place. Must visit place in Singapore.",5,4 months ago,Attractions,,
64,Fort Canning Park,Maciek Goralski,A jungle in the middle of a modern city? No worries! It’s a stunning place full of history. There’s the battle box museum that shows how badly British army was unprepared and how one arrogant man can bring chaos and destruction on the whole …,5,2 months ago,Attractions,,
65,Fort Canning Park,Liz Collenette,"Beautiful lush green park to wander around. Lots of steps to reach the top so not suitable for anyone who can't do stairs.
For those who can its well worth a look.",4,a month ago,Attractions,,
66,Fort Canning Park,V K,"Beautiful, picturesque and extremely well groomed and maintained, totally tourists-, joggers- and walkers-friendly park with eternal blossom of... well, at least something around.",5,a month ago,Attractions,,
67,Fort Canning Park,Van Tran,"We actually didn’t plan to visit Fort Canning Park, it was a spontaneous stop, but we were lucky! It wasn’t too crowded, and we only waited about 5–10 minutes to get a spot at the famous spiral staircase for photos. …",5,2 months ago,Attractions,,
68,Fort Canning Park,Risqia,"A viral photo spot with easy access. However, avoid visiting on weekends and during the rainy season, as the queues can be very long.",5,2 weeks ago,Attractions,,
69,Fort Canning Park,Joyce “Joyful Explorer”,"A lovely park to explore the flora and fauna. There are escalators if you start your hike from National Museum of Singapore. A flight of stairs awaits if you start from the hike from Funan/Central Fire Station. Jubilee Park playground is beside Fort Canning Mrt Station. A haven for children! Swings, sand and slides!",5,4 months ago,Attractions,,
70,Fort Canning Park,Phúc Nguyên Phạm Hoàng,"Fort Canning Park is stunning, with lush greenery and iconic spots that make for beautiful photos. However, expect long queues, sometimes 3-4 hours, especially for popular attractions. It can also get crowded with lots of people moving around, so plan your visit early to avoid the rush!",4,3 months ago,Attractions,,
71,Fort Canning Park,Eros Villamil,"Instagram-worthy spot, though it looks a bit less impressive in person. Still, it’s a nice place to visit. Expect long lines even in the afternoon. Conveniently located near the train station, so it's easy to drop by if you have time to spare.",5,2 months ago,Attractions,,
72,Fort Canning Park,Deshani Bandara,"Fort Canning Park was one of the photo locations I really wanted to visit during my trip to Singapore and it did not disappoint! The spot is famous for its iconic spiral staircase, and it’s absolutely worth the visit if you're into …",5,a month ago,Attractions,,
73,Fort Canning Park,Jenny Lim,"A quiet oasis amidst the bustling city.  Tall majestic trees, historical sites and meandering paths invite you to explore and discover this precious gem.  Lots of picturesque spots for photos other than the crowded fort caning park tree tunnel.  I go there to seek solitude and to rest my weary eyes on the gorgeous greeneries.",5,3 months ago,Attractions,,
74,Fort Canning Park,Uri Michon,Very nice park situated in the heart of the city. The park is crossed by a walking paths network. Alongside you can find seating places for relaxation and view points to enjoy the living nature. A mix of trees makes the place very …,4,3 months ago,Attractions,,
75,Fort Canning Park,Gleeko Magpoc,A sanctuary in the middle of the busy Singapore. It is amazing how Singapore has maintained a mini forest that gives you a relaxing atmosphere in the midst of a busy district. The place is located at a height so you can get a good view of …,5,4 months ago,Attractions,,
76,Fort Canning Park,Li Ching H,"A huge park that's very pleasant to walk. I came here both during morning and night time during my visit in Singapore, and I did not get any mosquito bites during my visit. Though there are still mosquitoes can be seen in sight.",5,4 months ago,Attractions,,
77,Fort Canning Park,Akshita Gupta,"It is a very peaceful and less crowded park in Singapore. However, given the weather, it can get hot and sweaty. Also, the tree tunnel photo point is beautiful but very crowded with people lining up to take photos. …",4,4 months ago,Attractions,,
78,Fort Canning Park,ridwan arefeen,Don’t visit if you want to have a nice calm environment during weekends. It’s beaming with people in the weekend. But the place is beautiful lots of stuff to see,4,3 months ago,Attractions,,
79,Fort Canning Park,Han Wee Lin,"Ventured the hills to recall, refresh and soak childhood memories. Of National Theatre, Van Kleef Aquarium, River Valley Swimming Pool.
Had a wonderful hike-walk. The ancient trees provided great shades and with …",5,2 months ago,Attractions,irrelevant,
80,Fort Canning Park,Eden Aqui,I never expected such a lovely park! So much beauty and nature to see and enjoy! Definately give it a visit ☺️,5,a month ago,Attractions,,
81,Fort Canning Park,Nok Davis,"Fort Canning Park is a peaceful green space in the middle of Singapore, perfect for a stroll or a quiet escape from the city. The park is well-preserved, with towering trees, lush greenery, and historical structures scattered throughout. …",5,6 months ago,Attractions,,
82,Fort Canning Park,Janno,Easily one of the best parks I would go to in Singapore! The escalators give it more accessibility points! …,5,5 months ago,Attractions,,
83,Fort Canning Park,Petra Elo,Could easily spend a full day in this park. Also as its on a hill it feels breezy and cooler compared to the rest of Singapore. Recommend visiting Fort Canning Centre and its free exhibitions.,5,4 months ago,Attractions,,
84,Fort Canning Park,Aditya Fajar Pratama,"A very large park that has a famous spot to take a picturw, but I couldn't deal with the queue, sorry 😂 …",5,2 months ago,Attractions,,
85,Fort Canning Park,Eric Koulourath,Loved my visit to Fort Canning Park. The way they've blended historical structures with such a diverse collection of plant life is truly impressive. The city views are a bonus! Highly recommend exploring this park.,5,5 months ago,Attractions,,
86,Fort Canning Park,Kristy,"I really like the part in their heritage gallery, where they promote the growing of your own potted plant. its on a foc buffet service, where the pots and soils and seed are neatly packed for takeaways, they even provide carrier bags for …",5,2 months ago,Attractions,,
87,Fort Canning Park,Hatsune Miku,"Fort Canning Park is a place of rich history heritage. Once the home of kings and even Raffles at a certain point in time, it has been taken over by chickens now, or rather, the red junglefowl. And these junglefowls are living the life of a …",5,2 months ago,Attractions,,
88,Fort Canning Park,mela rellora,"Great place for nature lovers and history enthusiast.
Have a lot of nooks for photo ops and vast space for pets specially dogs to roam around.",5,a month ago,Attractions,,
89,Fort Canning Park,Weng Kiong Fong,"For me, Fort Canning Park is a wonderful place for relaxing among nature and taking beautiful photos of the heritage trees and beautiful city skyline. …",5,a week ago,Attractions,,
90,Fort Canning Park,CHELSI BHANARKAR,"It has a waiting time of about an hour. The landscape is beautiful and beyond imagination. It was all good, worth the wait, until few Indian tourists broke the queue and started filming themselves. We waited for nearly 1hr 30mins in the …",4,3 months ago,Attractions,,
91,Fort Canning Park,Ra Rara,"very beautiful park to visit with your loves one. it is a walking distance from Dhoby Mrt station and ample signboard for your to follow along the way to here. also, if you tired walking, there is pleanty benches that you can sit for a short break. do bring water & some snacks along too as the weather is very hot in the afternoon.",5,2 months ago,Attractions,,
92,Fort Canning Park,Jo Lee,"Fort Canning Park is a historically significant hilltop oasis in the heart of Singapore, serving as a tranquil green space amidst the city's bustling downtown. It boasts a rich past, having been the site of ancient Malay palaces and …",4,2 months ago,Attractions,,
93,Fort Canning Park,Nora A.,Great place to spend strolling / walking / running & plenty of stairs to get some cardio work done. Or you can take the scenic route circling the park or the escalators.,5,4 months ago,Attractions,,
94,Fort Canning Park,Sutida Promprakai,"Great place to run or just to walk. Public drinking water tap provided. Good environment, safe, so many old and precious trees.",5,5 months ago,Attractions,,
95,Fort Canning Park,Malcolm Young,"2025: There's so many lush parks in the surrounding city, this old hill fort is one worth exploring.",4,2 months ago,Attractions,,
96,Fort Canning Park,Basil Bruce,"Simply lovely. A great (if hot) hour or so. Not particularly 'fortie' but stunning gardens in the heart of the city.
Incredibly well maintained and some amazing trees.
A refresher in Clarke Quay fully recommended.",5,6 months ago,Attractions,,
97,Fort Canning Park,Amethyst Jade Salape,"Randomly decided to drop by here. Great place! A long climb up and a long line was waiting for us at the tree tunnel. You don’t have to only line up there to get great pics, anywhere looks beautiful :)",5,4 months ago,Attractions,,
98,Fort Canning Park,Rochele Ann Rulloda,"Went here with my dad and my brother, I had fun exploring the place and there are a lot of interesting things you can see and explore around the area.",5,2 months ago,Attractions,,
99,Fort Canning Park,Taktan tak,"Nice park with a lot of knowledge in the history of Singapore and good for walking or exercising in the morning or evening, clean and very well management.",5,a month ago,Attractions,,
100,River Wonders,JM Ventayen,"After our Amazon River Quest ride, we continued on to River Wonders and it was such an amazing experience! 🐠✨ We saw so many aquariums filled with different fish species, each more fascinating than the last. One of the highlights was …",5,a week ago,Attractions,,
101,River Wonders,Benedict Correya,"Me and my wife visited River Wonders on a rainy Sunday. Thankfully, most of the exhibits are sheltered, so the wet weather didn’t spoil our visit and we could still enjoy seeing the animals—especially the giant pandas! The park is very …",4,3 weeks ago,Attractions,,
102,River Wonders,Shahab AB,"It was an absolutely amazing experience at River Wonders! There are so many aquatic animals to see, including giant river otters, giant freshwater stingrays, and even pandas. The manatees were the highlight for us. So funny and interesting …",5,a month ago,Attractions,,
103,River Wonders,Uthpalavi Dias,One of the coolest place to see the pandas and fish. Nice and clean area with good facilities to stroll with young kids. Also the animal presentation are nice and exciting experience for families. Giant fish tanks are wonderful and fish and animals are from both freshwater and sea water,5,a month ago,Attractions,,
104,River Wonders,Sharafina Md Abidin Shah,"I had a great time here at River Wonders! The park is beautiful and well-organised, and I especially enjoyed seeing the giant pandas. I also had a great experience at the Amazon River Quest, such a fun and cheap thrill! …",5,2 weeks ago,Attractions,,
105,River Wonders,Angeline Chiba,"The concept is great, with so many unique fish that I couldn’t see in other aquariums. The place is also family-friendly. But it’s very hot and humid, so don’t forget to bring water and a fan.",4,6 days ago,Attractions,,
106,River Wonders,G. Goh,"We had a great time at River Wonders!

It wasn’t crowded, so it was easy to walk around and enjoy everything. …",5,3 months ago,Attractions,,
107,River Wonders,Ed .venturous,"The design of the park was quite weather proof. Though it was raining when we went, most of the attractions can still be visited. Animal show have to be pre booked but it was a little underwhelming. Overall, family friendly and worth a visit.",4,a month ago,Attractions,,
108,River Wonders,Kid Vo,"The majority of the wildlife here lives underwater, but surprisingly, they also have giant pandas and red pandas. All the giant pandas seem to do is eat and eat, while the red pandas are usually hiding up in the trees for a nap. The red …",5,2 months ago,Attractions,,
109,River Wonders,Bluebell Flourish,"Once Upon a River is a fun, interactive show. Did not expect close encounters with a parrot, hornbill, monitor lizard, python, capybara and pelicans! …",5,a month ago,Attractions,,
110,River Wonders,Daddy Pooch,We really enjoyed the river wonders. It's kinda far from the place we were staying but Singapore has an efficient transport system so going here is not a problem. This is only a part of a zoo I think but this is big enough for a days trip. …,5,a month ago,Attractions,,
111,River Wonders,YT Chan,"It has fun-filled shows and an amazing boat ride. In my opinion, I think the boat ride is the most amazing boat ride you could ever ride. The fun-filled show includes One Upon A River, where you can volunteer to go up on stage to feel the …",5,2 months ago,Attractions,,
112,River Wonders,Randall Ting,Quite fun. Total time taken was around 3 hours. Went in around 2pm. Just nice there was some feeding and rangers giving additional information. …,4,4 months ago,Attractions,,
113,River Wonders,c h a r l y n n,"I enjoyed river wonders as it is such a lovely park to see the animals (manatees, otters, panda, and the capybara) love them all! Went to the arq boat ride too loved the experience! Special thanks to a staff meredith for helping me out with the tickets big thumbs up for her.",5,a week ago,Attractions,,
114,Supertree Grove,Melia,Looks cool in pictures; looks even cooler in person. Highly recommend getting a ticket and going up to the walkways even though you can view the trees from the ground for free. The structure feels safe and sturdy for those who get wiggly …,5,a month ago,Attractions,,
115,Supertree Grove,Hatem Saadaoui,"A magical experience from start to finish. On a rainy Ramadan evening, the Cloud Forest was the perfect escape — cool, peaceful, and breathtaking with its indoor waterfall and sky bridges. Later, the Supertree Observatory and the Garden …",5,a week ago,Attractions,,
116,Supertree Grove,Nanda Linn Aung,Amazing light and sound. I had the pleasure of enjoying massive classic sound integration and also many awesome movie themed integrated light and sound show. Some visitors will lay down and take the video upwards. Very good planning and …,5,4 months ago,Attractions,,
117,Supertree Grove,김채은,"I'll be honest, the light show isn't something I would have paid to watch from above (we went for the Cloud Forest + Flower Dome package) but I had no regrets waiting to watch it from the area below. It was an enjoyable experience worth …",5,a month ago,Attractions,,
118,Supertree Grove,Deborah Newton,Well worth a visit to see these structures. Great concept and so much fun.  Free to visit the ground but you do have to pay to go on the sky walk which is worth it.  We don't book in advance and went on a school day.  It's was very quiet.,5,2 months ago,Attractions,,
119,Supertree Grove,Siew TF,"The Supertrees in Gardens by the Bay, Singapore, are iconic vertical gardens that combine nature, art, and technology. …",5,a month ago,Attractions,,
120,Supertree Grove,Jessicafaye Salisipan,"Definitely a must visit, especially at night if you want to see the lights. There's a light show between 8 and 10 (check accurate time on Google lol). A lot of people brought mats to sit down on, but you can also just sit on the ground as …",5,2 weeks ago,Attractions,,
121,Supertree Grove,Carleen Bongay,"This place is definitely a must-see! The best part? It’s free to explore, except for the walkway (but trust me, it’s worth it). Around 7:45 PM and 8:45 PM, they feature synchronized light displays set to music, transforming the entire area …",5,4 months ago,Attractions,,
122,Supertree Grove,Gene G,"The best time is to watch the light show. I went the one at 7;45pm, which last 15 minutes. It's a great show. Lot of people, but you will find a place in the crowd. While at that time it will wait about an hour to get the cross walk bridging the. Supertrees.",5,3 weeks ago,Attractions,,
123,Supertree Grove,Aparajita Paul,"Lovely place to visit, and worth the long queue.
Although time at the ocnc walk way is limited, but one will love the views around. …",5,a week ago,Attractions,,
124,Supertree Grove,ChuLuxe Explorer,Supertree Grove is absolutely breathtaking. I went in the evening and it was such a magical experience. The trees lit up beautifully and the synchronized light and music show was just amazing to watch. It felt like something out of a dream. …,5,a month ago,Attractions,,
125,Supertree Grove,Claudio Bruni,"Supertree Grove is absolutely magical, especially during the evening light show 🌳✨🎶. The towering trees light up in sync with music, creating a spectacular atmosphere that feels like stepping into another world 🌌💜. It’s free to watch, the …",5,2 weeks ago,Attractions,,
126,Supertree Grove,"10,000KM PER TE NIGEL",Please just pay for the tickets and head up. I tried it for the first time last week after 20 years of hosting friends from the overseas and It was just something amazing - worth every penny for sure! PS: the view is completely different in the day and night. Latter is better!,5,a month ago,Attractions,,
127,Supertree Grove,Ravi Raj,"Absolutely stunning experience!

Gardens by the Bay is an absolute must-visit if you’re in Singapore. The …",5,2 months ago,Attractions,,
128,Supertree Grove,Marcos O. Diogo,"The biggest of all tree, I decided to go to the top and it wasn’t a mistake, this is one of the multiple activities garden by the bay offers you should read garden by the bay reviews to get a knowledge of the overall experience but since …",5,3 months ago,Attractions,,
129,Supertree Grove,Christian Jones Lucas,We first came to the three super trees by Starbucks and McDonald's and struggled to figure out how to get to the actual grove. Once we sat down and looked at the map we figured out the direction we needed to go. It was an awesome experience …,4,2 months ago,Attractions,,
130,Supertree Grove,Nav Sanghera,Highly recommend going here to see the light show. Such a magical place and show. Atmosphere was great. I would also walk around the gardens so many things to see.,5,a week ago,Attractions,,
131,Supertree Grove,Nirwana,Supertree Grove at Marina Bay is truly a futuristic wonder! The towering tree-like structures light up beautifully at night with music shows that are simply magical. You can also rent a bike and explore the scenic paths around Marina Bay …,5,3 weeks ago,Attractions,,
132,Supertree Grove,Davina Enebeli,OMG a must visit place. We were there into the evening and enjoyed an amazing lights and music display. The gardens are definitely a must visit when in Singapore. There is a skywalk tower that is priced separately. We enjoyed it. Depending …,5,3 weeks ago,Attractions,,
133,Supertree Grove,Wandering Sapiens,Supertree Grove is a well-designed area with tall vertical gardens that stand out in the park. The light and sound show held in the evening is free and draws a good crowd—worth watching if you're around. The walkway between the trees offers …,5,a month ago,Attractions,,
